Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,season
Steven Adams,C,26,OKC,63,63,1680,8.2,13.8,.592,0.0,0.1,.333,8.2,13.7,.594,3.4,5.8,.582,6.0,10.9,16.9,4.2,1.5,1.9,2.7,3.5,19.8,,122,106,2020
Bam Adebayo,PF,22,MIA,72,72,2417,8.9,16.0,.557,0.0,0.3,.143,8.8,15.7,.564,5.3,7.7,.691,3.6,11.3,14.8,7.4,1.7,1.9,4.1,3.7,23.1,,116,106,2020
LaMarcus Aldridge,C,34,SAS,53,53,1754,10.7,21.6,.493,1.7,4.3,.389,9.0,17.3,.519,4.3,5.2,.827,2.8,7.9,10.7,3.5,1.0,2.4,2.0,3.5,27.3,,115,112,2020
Kyle Alexander,PF,23,MIA,2,0,13,3.8,7.5,.500,0.0,0.0,,3.8,7.5,.500,0.0,0.0,,7.5,3.8,11.3,0.0,0.0,0.0,3.8,3.8,7.5,,96,116,2020
Jarrett Allen,C,21,BRK,70,64,1852,7.7,11.9,.649,0.0,0.2,.000,7.7,11.7,.658,4.4,6.9,.633,5.5,11.6,17.1,2.8,1.0,2.4,2.0,4.1,19.8,,132,106,2020
Al-Farouq Aminu,PF,29,ORL,18,2,380,3.2,11.0,.291,1.2,4.6,.250,2.0,6.4,.320,2.4,3.7,.655,3.1,8.1,11.1,2.7,2.3,1.0,2.2,3.5,10.0,,88,108,2020
Kyle Anderson,PF,26,MEM,67,28,1330,5.5,11.6,.474,0.8,3.0,.282,4.7,8.6,.541,1.8,2.7,.667,2.0,8.0,10.0,5.7,1.9,1.3,2.3,3.9,13.7,,109,109,2020
Ryan Anderson,C,31,HOU,2,0,14,6.6,23.1,.286,3.3,16.5,.200,3.3,6.6,.500,0.0,0.0,,0.0,23.1,23.1,6.6,3.3,0.0,3.3,3.3,16.5,,78,98,2020
Giannis Antetokounmpo,PF,25,MIL,63,63,1917,16.3,29.5,.553,2.1,7.0,.304,14.2,22.5,.631,9.5,15.0,.633,3.3,17.1,20.4,8.4,1.5,1.6,5.5,4.6,44.2,,116,97,2020
Kostas Antetokounmpo,PF,22,LAL,5,0,20,7.1,7.1,1.000,0.0,0.0,,7.1,7.1,1.000,2.4,4.8,.500,4.8,2.4,7.1,4.8,0.0,0.0,2.4,4.8,16.6,,153,115,2020
Carmelo Anthony,PF,35,POR,58,58,1902,8.4,19.6,.430,2.2,5.7,.385,6.2,13.9,.448,3.4,4.0,.845,1.8,7.4,9.2,2.1,1.2,0.7,2.5,4.3,22.4,,104,115,2020
Deandre Ayton,C,21,PHO,38,32,1236,11.9,21.8,.546,0.1,0.5,.231,11.8,21.3,.553,2.6,3.4,.753,5.6,11.1,16.7,2.8,1.0,2.2,3.1,4.5,26.4,,111,108,2020
Marvin Bagley III,PF,20,SAC,13,6,334,11.3,24.3,.467,0.6,3.2,.182,10.7,21.1,.510,3.6,4.5,.806,4.2,9.9,14.1,1.5,0.9,1.7,2.6,6.2,26.9,,102,111,2020
Mo Bamba,C,21,ORL,62,0,878,7.3,15.9,.462,2.1,5.9,.346,5.3,9.9,.531,1.7,2.6,.674,5.5,11.2,16.7,2.3,1.3,4.8,2.3,6.4,18.4,,111,103,2020
Harrison Barnes,PF,27,SAC,72,72,2482,7.1,15.5,.460,2.0,5.2,.381,5.1,10.3,.501,4.2,5.2,.801,1.5,5.4,6.9,3.1,0.8,0.2,1.7,1.8,20.4,,116,116,2020
Aron Baynes,C,33,PHO,42,28,934,9.3,19.3,.480,3.0,8.5,.351,6.3,10.8,.582,2.8,3.8,.747,3.6,8.4,12.0,3.4,0.5,1.2,2.5,7.2,24.4,,113,112,2020
Darius Bazley,PF,19,OKC,61,9,1130,5.4,13.6,.394,2.1,6.1,.348,3.3,7.6,.432,1.8,2.7,.694,1.3,9.3,10.6,1.8,1.0,1.8,1.9,2.4,14.7,,96,108,2020
Jordan Bell,C-PF,25,TOT,29,0,256,6.4,12.2,.522,0.7,2.2,.333,5.6,10.0,.564,3.4,5.6,.613,5.4,9.3,14.7,2.9,0.5,1.8,3.8,3.4,16.9,,108,112,2020
Jordan Bell,C,25,MIN,27,0,235,6.3,11.9,.533,0.4,1.8,.222,5.9,10.1,.588,3.4,5.7,.586,5.5,9.9,15.4,2.8,0.4,2.0,3.6,3.4,16.4,,108,112,2020
Jordan Bell,PF,25,MEM,2,0,21,6.7,15.6,.429,4.4,6.7,.667,2.2,8.9,.250,4.4,4.4,1.000,4.4,2.2,6.7,4.4,2.2,0.0,6.7,4.4,22.2,,103,113,2020
Dāvis Bertāns,PF,27,WAS,54,4,1583,7.8,18.0,.434,5.9,13.9,.424,1.9,4.1,.471,3.1,3.6,.852,1.0,6.2,7.2,2.7,1.1,1.0,1.7,4.1,24.6,,120,116,2020
Khem Birch,C,27,ORL,48,24,922,3.9,7.6,.510,0.0,0.1,.000,3.9,7.5,.514,3.5,5.3,.653,4.8,6.8,11.6,2.6,1.1,1.2,1.6,4.8,11.2,,121,111,2020
Goga Bitadze,C,20,IND,54,2,471,7.2,15.5,.467,0.8,4.3,.190,6.4,11.1,.574,2.5,3.4,.727,2.6,8.3,10.9,2.4,1.0,3.8,2.9,6.7,17.7,,99,105,2020
Bismack Biyombo,C,27,CHO,53,29,1029,7.4,13.5,.543,0.0,0.0,,7.4,13.5,.543,4.4,7.4,.603,5.8,9.2,15.0,2.4,0.5,2.4,2.3,5.6,19.1,,116,112,2020
Nemanja Bjelica,PF,31,SAC,72,67,2011,7.6,15.8,.481,3.2,7.7,.419,4.3,8.0,.541,1.7,2.0,.821,2.7,8.4,11.0,4.9,1.5,1.0,2.4,5.2,20.0,,119,111,2020
Jonah Bolden,PF,24,TOT,7,0,47,4.1,11.2,.364,0.0,4.1,.000,4.1,7.1,.571,2.0,4.1,.500,3.0,6.1,9.1,0.0,3.0,2.0,2.0,10.1,10.1,,80,106,2020
Jonah Bolden,PF,24,PHI,4,0,14,6.9,10.4,.667,0.0,3.5,.000,6.9,6.9,1.000,0.0,6.9,.000,0.0,3.5,3.5,0.0,3.5,0.0,6.9,13.8,13.8,,57,108,2020
Jonah Bolden,PF,24,PHO,3,0,33,2.9,11.5,.250,0.0,4.3,.000,2.9,7.2,.400,2.9,2.9,1.000,4.3,7.2,11.5,0.0,2.9,2.9,0.0,8.6,8.6,,94,105,2020
Marques Bolden,C,21,CLE,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,32.4,32.4,0.0,16.2,0.0,0.0,16.2,0.0,,,69,2020
Chris Boucher,PF,27,TOR,62,0,819,8.2,17.4,.472,2.2,6.9,.322,6.0,10.5,.569,5.3,6.7,.784,6.2,9.9,16.1,1.5,1.3,3.5,1.6,6.6,23.9,,124,101,2020
Tony Bradley,C,22,UTA,58,3,663,9.2,13.9,.667,0.2,0.2,1.000,9.0,13.7,.661,2.2,3.4,.652,8.1,11.5,19.6,1.7,1.0,2.4,2.2,8.4,20.9,,135,106,2020
Jarrell Brantley,PF,23,UTA,9,0,96,5.1,14.2,.357,1.5,6.6,.231,3.5,7.6,.467,0.5,1.0,.500,1.0,9.1,10.1,5.6,1.5,2.5,3.5,3.5,12.2,,85,106,2020
Moses Brown,C,20,POR,9,0,33,5.8,14.4,.400,0.0,0.0,,5.8,14.4,.400,4.3,11.6,.375,4.3,15.9,20.2,1.4,1.4,1.4,4.3,10.1,15.9,,81,108,2020
Thomas Bryant,C,22,WAS,46,36,1147,9.9,17.0,.581,1.5,3.7,.407,8.4,13.3,.630,3.5,4.7,.741,4.0,9.5,13.5,3.4,1.0,2.0,2.2,4.2,24.8,,127,114,2020
Bruno Caboclo,C,24,TOT,30,0,244,7.3,17.0,.427,1.1,6.3,.182,6.1,10.7,.571,1.5,1.7,.889,4.4,7.1,11.5,2.3,2.9,3.2,2.5,5.9,17.2,,100,105,2020
Bruno Caboclo,C,24,MEM,22,0,192,6.8,16.8,.406,1.0,6.1,.160,5.8,10.7,.545,0.5,0.7,.667,4.1,6.6,10.7,2.4,2.4,2.9,1.7,5.6,15.1,,97,106,2020
Bruno Caboclo,C,24,HOU,8,0,52,8.9,17.8,.500,1.8,7.1,.250,7.1,10.7,.667,5.3,5.3,1.000,5.3,8.9,14.2,1.8,4.4,4.4,5.3,7.1,24.9,,108,98,2020
Devontae Cacok,C,23,LAL,1,0,9,15.8,31.7,.500,0.0,0.0,,15.8,31.7,.500,0.0,0.0,,10.6,15.8,26.4,5.3,0.0,0.0,0.0,0.0,31.7,,122,107,2020
