Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,season,all_nba_1st_team
Kareem Abdul-Jabbar*,C,32,LAL,82,,3143,12.3,20.3,.604,0.0,0.0,.000,12.3,20.3,.604,5.3,7.0,.765,2.8,10.2,13.0,5.4,1.2,4.1,4.4,3.2,29.8,,118,100,1980,1
Tom Abernethy,PF,25,GSW,67,,1222,6.0,12.4,.481,0.0,0.0,.000,6.0,12.4,.483,2.2,3.2,.683,2.4,5.0,7.5,3.4,1.4,0.5,1.5,4.6,14.1,,109,108,1980,0
Alvan Adams,C,25,PHO,75,,2168,9.8,18.5,.531,0.0,0.0,.000,9.8,18.4,.533,4.0,5.0,.797,3.3,9.5,12.9,6.8,2.3,1.2,4.6,5.0,23.6,,107,99,1980,0
Dennis Awtrey,C,31,CHI,26,,560,2.3,5.0,.450,0.0,0.0,,2.3,5.0,.450,2.7,4.2,.640,2.4,7.2,9.7,3.4,1.0,1.3,2.3,5.6,7.2,,102,107,1980,0
James Bailey,PF,22,SEA,67,,726,7.9,17.6,.450,0.0,0.0,,7.9,17.6,.450,4.4,6.6,.673,4.6,8.2,12.8,1.8,1.4,3.5,5.1,7.5,20.3,,93,98,1980,0
Marvin Barnes,PF,27,SDC,20,,287,4.0,9.9,.400,0.0,0.0,,4.0,9.9,.400,2.6,5.3,.500,5.6,7.1,12.7,3.0,0.8,2.0,3.0,8.6,10.6,,95,109,1980,0
Tim Bassett,PF,28,TOT,12,,164,3.3,9.3,.353,0.0,0.0,,3.3,9.3,.353,2.7,4.1,.667,3.0,6.0,9.0,3.8,2.2,0.0,2.4,7.3,9.3,,92,105,1980,0
Tim Bassett,PF,28,NJN,7,,92,3.9,10.8,.364,0.0,0.0,,3.9,10.8,.364,3.9,5.9,.667,3.4,5.4,8.9,2.0,2.5,0.0,2.0,6.9,11.8,,97,103,1980,0
Tim Bassett,PF,28,SAS,5,,72,2.4,7.3,.333,0.0,0.0,,2.4,7.3,.333,1.2,1.8,.667,2.4,6.7,9.1,6.1,1.8,0.0,3.0,7.9,6.1,,86,109,1980,0
Ron Behagen,PF,29,WSB,6,,64,6.6,16.8,.391,0.0,0.0,,6.6,16.8,.391,3.7,4.4,.833,4.4,5.8,10.2,5.1,0.0,2.9,2.9,10.2,16.8,,99,107,1980,0
Kent Benson,C,25,TOT,73,,1891,7.3,15.1,.484,0.0,0.1,.200,7.3,15.0,.486,2.4,3.5,.702,3.1,8.0,11.1,4.4,1.8,2.3,3.8,6.0,17.1,,99,102,1980,0
