Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,all_nba_1st_team
Kareem Abdul-Jabbar*,C,32,LAL,82,,3143,9.6,15.8,.604,0.0,0.0,.000,9.6,15.8,.604,4.2,5.5,.765,2.2,8.0,10.1,4.2,0.9,3.2,3.4,2.5,23.3,1980,1
Tom Abernethy,PF,25,GSW,67,,1222,4.5,9.4,.481,0.0,0.0,.000,4.5,9.3,.483,1.6,2.4,.683,1.8,3.8,5.6,2.6,1.0,0.4,1.1,3.5,10.7,1980,0
Alvan Adams,C,25,PHO,75,,2168,7.7,14.5,.531,0.0,0.0,.000,7.7,14.5,.533,3.1,3.9,.797,2.6,7.5,10.1,5.3,1.8,0.9,3.6,3.9,18.6,1980,0
Dennis Awtrey,C,31,CHI,26,,560,1.7,3.9,.450,0.0,0.0,,1.7,3.9,.450,2.1,3.2,.640,1.9,5.5,7.4,2.6,0.8,1.0,1.7,4.2,5.5,1980,0
James Bailey,PF,22,SEA,67,,726,6.0,13.4,.450,0.0,0.0,,6.0,13.4,.450,3.4,5.0,.673,3.5,6.2,9.8,1.4,1.0,2.7,3.9,5.8,15.5,1980,0
Marvin Barnes,PF,27,SDC,20,,287,3.0,7.5,.400,0.0,0.0,,3.0,7.5,.400,2.0,4.0,.500,4.3,5.4,9.7,2.3,0.6,1.5,2.3,6.5,8.0,1980,0
Tim Bassett,PF,28,TOT,12,,164,2.6,7.5,.353,0.0,0.0,,2.6,7.5,.353,2.2,3.3,.667,2.4,4.8,7.2,3.1,1.8,0.0,2.0,5.9,7.5,1980,0
Tim Bassett,PF,28,NJN,7,,92,3.1,8.6,.364,0.0,0.0,,3.1,8.6,.364,3.1,4.7,.667,2.7,4.3,7.0,1.6,2.0,0.0,1.6,5.5,9.4,1980,0
Tim Bassett,PF,28,SAS,5,,72,2.0,6.0,.333,0.0,0.0,,2.0,6.0,.333,1.0,1.5,.667,2.0,5.5,7.5,5.0,1.5,0.0,2.5,6.5,5.0,1980,0
Ron Behagen,PF,29,WSB,6,,64,5.1,12.9,.391,0.0,0.0,,5.1,12.9,.391,2.8,3.4,.833,3.4,4.5,7.9,3.9,0.0,2.3,2.3,7.9,12.9,1980,0
Kent Benson,C,25,TOT,73,,1891,5.7,11.8,.484,0.0,0.1,.200,5.7,11.7,.486,1.9,2.7,.702,2.4,6.2,8.6,3.4,1.4,1.8,3.0,4.7,13.3,1980,0
Kent Benson,C,25,MIL,56,,1389,5.5,11.2,.494,0.0,0.0,.000,5.5,11.1,.495,1.7,2.5,.680,2.5,6.1,8.6,3.3,1.4,1.9,2.7,4.6,12.8,1980,0
Kent Benson,C,25,DET,17,,502,6.2,13.4,.460,0.1,0.3,.250,6.1,13.1,.464,2.4,3.2,.750,2.2,6.5,8.6,3.7,1.4,1.3,3.7,4.9,14.8,1980,0
Larry Bird*,PF,23,BOS,82,82,2955,8.4,17.8,.474,0.7,1.7,.406,7.7,16.1,.481,3.7,4.4,.836,2.6,7.7,10.4,4.5,1.7,0.6,3.2,3.4,21.3,1980,0
Lawrence Boston,PF,23,WSB,13,,125,6.9,15.0,.462,0.0,0.0,,6.9,15.0,.462,2.3,3.7,.615,5.5,5.8,11.2,0.6,1.2,0.6,2.3,7.2,16.1,1980,0
Tom Boswell,PF,26,TOT,79,,2077,6.0,10.6,.564,0.1,0.2,.500,5.9,10.5,.566,3.6,4.7,.755,2.5,5.1,7.7,2.8,0.5,0.6,3.1,4.7,15.7,1980,0
Tom Boswell,PF,26,DEN,18,,522,5.0,9.3,.533,0.1,0.1,.500,4.9,9.2,.534,4.0,4.8,.829,2.8,5.1,7.9,3.2,0.3,0.6,2.7,3.9,14.0,1980,0
Tom Boswell,PF,26,UTA,61,,1555,6.3,11.1,.573,0.1,0.2,.500,6.3,10.9,.574,3.4,4.7,.729,2.5,5.1,7.6,2.7,0.6,0.7,3.3,5.0,16.2,1980,0
Jim Brewer,PF,28,POR,67,,1016,3.2,6.5,.489,0.0,0.2,.000,3.2,6.3,.503,0.5,1.0,.483,3.6,5.5,9.1,2.7,1.5,1.5,1.7,4.6,6.9,1980,0
Roger Brown,C,29,CHI,4,,37,1.0,2.9,.333,0.0,0.0,,1.0,2.9,.333,0.0,0.0,,1.9,7.8,9.7,1.0,0.0,2.9,0.0,3.9,1.9,1980,0
Joe Bryant,PF,25,SDC,81,,2328,4.5,10.5,.431,0.1,0.5,.147,4.5,10.0,.446,2.5,3.4,.742,2.6,5.3,8.0,2.2,1.6,0.6,2.6,4.0,11.7,1980,0
